	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL
	       252	  0.736966	1.01368e-05	0.000242842	0.00827935	  0.187305
	     252.1	  0.736903	1.27136e-05	0.000242865	0.00829389	   0.18732
	     252.2	  0.736839	1.14402e-05	0.000242884	0.00830656	  0.187336
	     252.3	  0.736774	1.02941e-05	0.000242899	0.00831742	  0.187351
	     252.4	  0.736708	1.32699e-05	0.000242879	0.00832651	  0.187367
	     252.5	  0.736639	1.26859e-05	0.000242864	 0.0083339	  0.187382
	     252.6	   0.73657	1.14151e-05	0.000242855	0.00833963	  0.187397
	     252.7	  0.736499	1.02714e-05	0.00024285	0.00834375	  0.187413
	     252.8	  0.736426	9.24207e-06	0.000242848	0.00834629	  0.187428
	     252.9	  0.736352	8.86832e-06	0.000242846	 0.0083473	  0.187443
	       253	  0.736277	8.85331e-06	0.000242843	0.00834681	  0.187457
	     253.1	    0.7362	8.83966e-06	0.000242838	0.00834487	  0.187472
	     253.2	  0.736122	8.83378e-06	0.00024283	0.00834154	  0.187487
	     253.3	  0.736042	9.06206e-06	0.00024282	0.00833685	  0.187502
	     253.4	  0.735961	1.27825e-05	0.000242809	0.00833087	  0.187516
	     253.5	  0.735879	1.1498e-05	0.000242796	0.00834214	  0.187531
	     253.6	  0.735795	1.0342e-05	0.000242783	0.00846941	  0.187545
	     253.7	  0.735709	9.30157e-06	0.000242768	0.00859138	  0.187559
	     253.8	  0.735622	8.82526e-06	0.000242753	 0.0087081	  0.187573
	     253.9	  0.735534	8.8438e-06	0.000242736	0.00881965	  0.187588
	       254	  0.735445	8.86956e-06	0.000242719	0.00892611	  0.187602
	     254.1	  0.735354	8.8924e-06	 0.0002427	0.00902755	  0.187616
	     254.2	  0.735261	8.91279e-06	0.000242679	0.00912405	   0.18763
	     254.3	  0.735168	8.93099e-06	0.000242655	 0.0092157	  0.187643
	     254.4	  0.735072	8.9472e-06	0.00024263	0.00930259	  0.187657
	     254.5	  0.734976	8.9616e-06	0.000242575	0.00938482	  0.187671
	     254.6	  0.734878	8.9744e-06	0.000242524	0.00946246	  0.187685
	     254.7	  0.734779	8.98576e-06	0.000242478	0.00953562	  0.187698
	     254.8	  0.734678	1.00098e-05	0.000242435	0.00960439	  0.187712
	     254.9	  0.734576	9.00551e-06	0.000242394	0.00966887	  0.187725
	       255	  0.734473	9.05637e-06	0.00024235	0.00972915	  0.187739
	     255.1	  0.734368	1.10551e-05	0.000242298	0.00978534	  0.187752
	     255.2	  0.734262	9.94468e-06	0.000242244	0.00983754	  0.187766
	     255.3	  0.734155	1.69748e-05	0.000242189	0.00988585	  0.187779
	     255.4	  0.734046	1.52732e-05	0.000242133	0.00993037	  0.187792
	     255.5	  0.733936	1.37418e-05	0.000242077	0.00997121	  0.187806
