	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL
	       7.7	   2.08572	6.74005e-05	0.000386419	  0.607877	0.000137883
	       7.8	   2.08929	6.06683e-05	0.000386225	         1	0.000138108
	       7.9	   2.09077	5.4609e-05	0.000386038	  0.999964	0.000138334
	         8	   2.09016	5.23343e-05	0.000385876	  0.835011	0.000138561
	       8.1	   2.08758	4.71072e-05	0.000385712	  0.599372	0.000138788
	       8.2	   2.08317	4.24027e-05	0.000385554	  0.461965	0.000139016
	       8.3	   2.07714	3.81685e-05	0.000385302	  0.374601	0.000139245
	       8.4	   2.06968	3.57889e-05	0.000384917	  0.314547	0.000139474
	       8.5	   2.06112	5.2876e-05	0.000384381	   0.27089	0.000139703
	       8.6	   1.87383	4.75957e-05	0.000383823	  0.935084	0.000139933
	       8.7	   1.88533	5.20128e-05	0.000383276	  0.999922	0.000140163
	       8.8	   1.89627	4.68135e-05	0.000382742	  0.693259	0.000140393
	       8.9	   1.90666	5.93909e-05	0.000382223	  0.531893	0.000140623
	         9	   1.91653	6.04385e-05	0.000381716	  0.424445	0.000140852
	       9.1	    1.9329	5.43995e-05	0.000380068	  0.350704	0.000141082
	       9.2	   1.95226	5.20047e-05	0.000378494	  0.297825	0.000141311
	       9.3	    1.9682	4.6809e-05	0.000394712	  0.258301	0.00014154
	       9.4	   1.98069	4.47707e-05	0.000395088	  0.227747	0.000141769
	       9.5	   1.98965	5.12832e-05	0.000402033	  0.999993	0.000141997
	       9.6	   1.98925	4.61611e-05	0.000404254	  0.595145	0.000142225
	       9.7	   1.97148	6.60121e-05	0.000404444	  0.467094	0.000142452
	       9.8	   1.97743	5.94171e-05	0.000403728	  0.999991	0.000142679
	       9.9	   1.98292	5.34815e-05	0.000402614	  0.724785	0.000142905
	        10	   1.98796	4.81393e-05	0.000396979	         1	0.00014313
	      10.1	   1.99258	4.33313e-05	0.000393486	  0.657587	0.000143355
	      10.2	   1.99677	3.90039e-05	0.000390926	  0.495238	0.000143579
	      10.3	   2.00054	4.11028e-05	0.000388907	  0.396595	0.000143802
	      10.4	    2.0039	3.69968e-05	0.000387199	  0.999985	0.000144024
	      10.5	   2.00685	3.96505e-05	0.000385677	  0.684913	0.000144246
	      10.6	   2.00942	4.61192e-05	0.000384265	  0.597215	0.000144467
	      10.7	   2.01159	4.15102e-05	0.000382924	         1	0.000144687
	      10.8	   2.01339	3.73619e-05	0.000381635	  0.847929	0.000144906
	      10.9	   2.01482	3.6894e-05	0.000380386	  0.605867	0.000145124
	        11	   2.01588	  3.32e-05	0.000380121	         1	0.00014534
	      11.1	   2.01659	4.15515e-05	0.000380241	  0.684982	0.000145556
	      11.2	   2.01695	3.73999e-05	0.000380294	  0.512902	0.000145771
	      11.3	   2.01698	3.99764e-05	0.000380281	    0.4086	0.000145986
	      11.4	   2.01669	4.69336e-05	0.000380214	  0.339003	0.000146199
	      11.5	   2.01605	4.2244e-05	0.000380109	  0.289578	0.000146411
	      11.6	    2.0151	3.80228e-05	0.000379952	   0.25276	0.000146621
	      11.7	   2.01384	3.42239e-05	0.000379741	         1	0.000146831
	      11.8	   2.01228	3.95948e-05	0.000379538	  0.668891	0.00014704
	      11.9	    2.0135	3.84603e-05	0.000379189	  0.999984	0.000147248
	        12	   2.02512	3.89775e-05	0.000378761	  0.675995	0.000147454
	      12.1	   2.03583	3.50832e-05	0.000378283	  0.512748	0.00014766
	      12.2	   2.04566	3.15782e-05	0.000377764	  0.410248	0.000147864
	      12.3	   2.05462	5.27523e-05	0.00037721	  0.341103	0.000148068
	      12.4	   2.06274	5.21952e-05	0.000376596	  0.291871	0.00014827
	      12.5	   2.07004	4.6978e-05	0.000375946	  0.254949	0.000148471
	      12.6	   2.07653	4.22833e-05	0.000375264	  0.226039	0.000148671
	      12.7	   2.08227	4.39716e-05	0.000374549	  0.203226	0.00014887
	      12.8	   2.08723	3.95807e-05	0.000373702	  0.184593	0.000149068
	      12.9	   2.09146	3.56288e-05	0.000372477	  0.169093	0.000149265
	        13	   2.09498	3.2072e-05	0.000371116	  0.155797	0.000149461
	      13.1	   2.09781	4.28169e-05	0.000369677	   0.14433	0.000149656
	      13.2	   2.09997	3.85398e-05	0.000368181	  0.156547	0.000149849
	      13.3	   2.10149	3.46903e-05	0.000366536	  0.295414	0.000150042
	      13.4	   2.10237	3.12257e-05	0.000364832	  0.257263	0.000150234
	      13.5	   2.10267	3.83114e-05	0.000363106	  0.230606	0.000150424
	      13.6	   2.10238	3.44845e-05	0.000361362	  0.209142	0.000150613
	      13.7	   2.10155	3.10403e-05	0.000359611	  0.220804	0.000150801
	      13.8	   2.10019	3.9202e-05	0.000357842	  0.198059	0.000150988
	      13.9	   2.09833	 3.993e-05	0.000356022	  0.179504	0.000151174
	        14	     2.096	3.59411e-05	0.000354178	   0.99999	0.000151359
	      14.1	   2.09322	3.23512e-05	0.00035231	  0.668986	0.000151542
	      14.2	   2.09001	4.08917e-05	0.000350418	   0.50068	0.000151725
	      14.3	   2.08641	3.67591e-05	0.000348498	   0.39955	0.000151907
	      14.4	   2.08243	3.30568e-05	0.000346546	  0.332028	0.000152087
	      14.5	    2.0781	3.00661e-05	0.00034456	   0.28384	0.000152266
	      14.6	   2.07345	3.46021e-05	0.000342536	  0.247759	0.000152445
	      14.7	   2.06848	3.11438e-05	0.000340469	   0.22043	0.000152622
	      14.8	   2.06325	2.80316e-05	0.000338365	  0.198255	0.000152798
	      14.9	   2.05701	3.68071e-05	0.000336223	  0.180057	0.000152973
	        15	    2.0487	4.56488e-05	0.000335113	         1	0.000153148
	      15.1	    2.0387	4.10858e-05	0.00033401	  0.682084	0.000153321
	      15.2	   1.70733	3.69802e-05	0.00033289	  0.504395	0.000153493
	      15.3	   1.70985	3.32851e-05	0.00033173	  0.404181	0.000153664
	      15.4	   1.71127	2.99587e-05	0.000330568	  0.339804	0.000153835
	      15.5	   1.71195	2.6965e-05	0.000329423	  0.290988	0.000154004
	      15.6	   1.71216	3.4571e-05	0.00032828	  0.253994	0.000154172
	      15.7	   1.71161	3.26366e-05	0.000327149	  0.225071	0.000154339
	      15.8	   1.70897	3.07932e-05	0.000326033	  0.987854	0.000154505
	      15.9	   1.70483	3.14057e-05	0.000325125	  0.773081	0.00015467
	        16	   1.69987	2.82762e-05	0.000324448	  0.569983	0.000154835
	      16.1	   1.69467	2.79062e-05	0.000323688	  0.445621	0.000154998
	      16.2	   1.68971	2.51126e-05	0.000322905	  0.365162	0.00015516
	      16.3	   1.68536	2.33734e-05	0.000322118	   0.30882	0.000155321
	      16.4	   1.68186	2.10381e-05	0.000325545	  0.267111	0.000155482
	      16.5	   1.67939	2.72181e-05	0.000329188	  0.235004	0.000155641
	      16.6	   1.67802	2.6514e-05	0.000332802	  0.209739	0.000155799
	      16.7	   1.67773	2.39365e-05	0.00033636	  0.189265	0.000155956
	      16.8	   1.67848	2.1545e-05	0.000339867	  0.172313	0.000156113
	      16.9	   1.68015	2.14486e-05	0.000343334	  0.158024	0.000156268
	        17	   1.68259	2.76243e-05	0.000346765	  0.145817	0.000156423
	      17.1	   1.72545	2.48632e-05	0.000350086	  0.999749	0.000156576
	      17.2	   1.76375	2.23781e-05	0.000353351	  0.691917	0.000156728
	      17.3	   1.79405	3.14637e-05	0.000356602	  0.995364	0.00015688
	      17.4	   1.81616	2.83216e-05	0.000359851	  0.836261	0.000157031
	      17.5	   1.83019	3.04155e-05	0.000363096	  0.604064	0.00015718
	      17.6	    1.8339	3.41725e-05	0.000366272	  0.999607	0.000157329
	      17.7	   1.81839	4.07555e-05	0.00036924	    0.7418	0.000157477
	      17.8	   1.79825	3.66819e-05	0.000372112	  0.546291	0.000157624
	      17.9	   1.77439	3.77618e-05	0.000374923	  0.426715	0.00015777
	        18	   1.74761	3.98831e-05	0.00037756	   0.34776	0.000157915
	      18.1	   1.71868	3.69933e-05	0.000380315	  0.292798	0.000158059
	      18.2	   1.70846	3.32963e-05	0.000383142	  0.252887	0.000158202
	      18.3	   1.70638	2.99691e-05	0.000385973	  0.230122	0.000158344
	      18.4	   1.70349	2.69724e-05	0.000388759	  0.999898	0.000158486
	      18.5	   1.69984	2.42776e-05	0.000391468	  0.890088	0.000158626
	      18.6	   1.69547	2.18522e-05	0.000394083	   0.62215	0.000158766
	      18.7	    1.6904	2.07453e-05	0.000396592	  0.473896	0.000158905
	      18.8	    1.6847	3.17439e-05	0.000398991	  0.382323	0.000159043
	      18.9	    1.6784	2.85701e-05	0.000401278	  0.319998	0.00015918
	        19	   1.67155	2.57137e-05	0.000403451	  0.274897	0.000159316
	      19.1	   1.66421	2.31429e-05	0.000405512	   0.24069	0.000159451
	      19.2	   1.65642	2.62003e-05	0.000407461	  0.214243	0.000159586
	      19.3	   1.64823	2.35817e-05	0.000409298	  0.274346	0.000159719
	      19.4	   1.63968	2.1225e-05	0.000411024	  0.241528	0.000159852
	      19.5	   1.63083	3.14781e-05	0.00041264	  0.215694	0.000159984
	      19.6	    1.6217	3.28518e-05	0.000414146	         1	0.000160115
	      19.7	   1.61235	2.95675e-05	0.000415543	  0.669616	0.000160246
	      19.8	   1.60281	2.66116e-05	0.000416831	  0.502318	0.000160375
	      19.9	    1.5931	2.39513e-05	0.00041801	  0.401709	0.000160504
	        20	   1.58328	2.49878e-05	0.00041908	  0.334571	0.000160632
	      20.1	   1.57336	3.19903e-05	0.000420042	  0.286595	0.000160759
	      20.2	   1.56338	3.35382e-05	0.000420888	  0.250602	0.000160886
	      20.3	   1.55336	3.01947e-05	0.000421619	   0.22262	0.000161011
	      20.4	   1.54332	2.71867e-05	0.000422236	  0.200189	0.000161136
	      20.5	   1.53328	2.4479e-05	0.000422739	  0.181814	0.00016126
	      20.6	   1.52327	2.98797e-05	0.00042313	  0.166505	0.000161383
	      20.7	    1.5133	2.68931e-05	0.00042341	  0.153544	0.000161506
	      20.8	   1.50339	2.42053e-05	0.00042358	  0.142479	0.000161628
	      20.9	   1.49355	2.25911e-05	0.000422922	  0.132606	0.000161749
	        21	   1.48379	2.03341e-05	0.000418089	  0.123995	0.000161869
	      21.1	   1.47412	2.59058e-05	0.000414531	  0.116443	0.000161988
	      21.2	   1.46456	2.33154e-05	0.000411197	  0.109765	0.000162107
	      21.3	   1.45742	2.0984e-05	0.000407871	  0.103818	0.000162225
	      21.4	   1.44576	1.88858e-05	0.000404481	 0.0984732	0.000162342
	      21.5	   1.43653	2.03132e-05	0.000401034	 0.0936407	0.000162459
	      21.6	    1.4299	2.51257e-05	0.000397551	 0.0892678	0.000162575
	      21.7	   1.43236	2.72912e-05	0.000393683	  0.152698	0.00016269
	      21.8	   1.43466	2.45606e-05	0.000389502	   0.14182	0.000162805
	      21.9	   1.43681	2.87969e-05	0.000385237	  0.132385	0.000162918
	        22	    1.4388	2.71704e-05	0.000380958	  0.124107	0.000163031
	      22.1	   1.44064	2.44538e-05	0.000376693	  0.991158	0.000163144
	      22.2	   1.44235	2.20089e-05	0.000372453	  0.663579	0.000163255
	      22.3	    1.4439	2.00983e-05	0.000368245	  0.498749	0.000163366
	      22.4	   1.44532	1.80892e-05	0.000364072	  0.399381	0.000163477
	      22.5	   1.44659	1.99709e-05	0.000359935	  0.332846	0.000163586
	      22.6	   1.47595	1.79745e-05	0.000355833	   0.28514	0.000163695
	      22.7	   1.51489	2.82682e-05	0.000351764	  0.249244	0.000163804
	      22.8	   1.55267	2.54391e-05	0.000347725	  0.221275	0.000163911
	      22.9	   1.58838	2.28932e-05	0.000343712	  0.198792	0.000164019
	        23	   1.62133	2.31864e-05	0.000339722	  0.180328	0.000164125
	      23.1	     1.651	2.08669e-05	0.00033575	  0.164894	0.000164231
	      23.2	   1.67708	1.87799e-05	0.000331719	  0.151799	0.000164336
	      23.3	    1.6994	1.69019e-05	0.000327727	  0.140568	0.00016444
	      23.4	   1.71798	2.41637e-05	0.000323759	  0.130821	0.000164544
	      23.5	   1.73294	2.74948e-05	0.000319809	  0.122309	0.000164647
	      23.6	   1.74453	2.99137e-05	0.000315871	  0.114821	0.00016475
	      23.7	   1.75305	2.69262e-05	0.000311942	  0.108185	0.000164852
	      23.8	   1.75886	2.42374e-05	0.00030802	  0.102258	0.000164954
	      23.9	   1.76237	2.20484e-05	0.000304106	 0.0969294	0.000165054
	        24	   1.76398	2.62445e-05	0.00030363	 0.0921112	0.000165155
	      24.1	   3.34887	0.00024447	0.000356868	 0.0911021	0.000165353
	      24.2	   1.74555	0.000219992	0.000304827	 0.0862832	0.000165442
	      24.3	   1.60836	0.000197963	0.000307703	 0.0820662	0.000165531
	      24.4	   1.48215	0.00017814	0.000309883	 0.0783449	0.00016562
	      24.5	    1.3757	0.000160302	0.000311731	 0.0750303	0.00016571
	      24.6	   1.36247	0.00014425	0.000313354	  0.072042	 0.0001658
	      24.7	   1.36704	0.000129805	0.000314804	 0.0693263	0.00016589
	      24.8	   1.37418	0.000116807	0.00031612	 0.0668382	0.00016598
	      24.9	   1.38023	0.00010511	0.000317328	 0.0645443	0.00016607
	        25	   1.38527	9.45836e-05	0.000318453	 0.0624359	0.00016616
	      25.1	   1.38936	8.51113e-05	0.000319507	 0.0604917	0.00016625
	      25.2	   1.39258	7.65871e-05	0.000320499	 0.0586825	0.000166339
	      25.3	   1.39501	6.89158e-05	0.000321436	 0.0569764	0.000166429
	      25.4	    1.2327	6.20122e-05	0.000322319	 0.0553532	0.000166518
	      25.5	   1.23822	5.57992e-05	0.000323147	 0.0537992	0.000166607
	      25.6	   1.18736	5.02077e-05	0.000324087	 0.0523131	0.000166696
	      25.7	   1.19093	4.51753e-05	0.000325559	  0.050889	0.000166785
	      25.8	   1.19386	4.06463e-05	0.000327208	 0.0495197	0.000166873
	      25.9	   1.19619	 3.657e-05	0.000328771	  0.323853	0.000166961
	        26	   1.19795	3.29012e-05	0.000330133	         1	0.000167049
	      26.1	   1.19919	2.95991e-05	0.000331263	  0.995169	0.000167136
	      26.2	   1.19995	2.66269e-05	0.000332169	  0.655547	0.000167223
	      26.3	    1.2003	2.39517e-05	0.000332877	  0.999862	0.00016731
	      26.4	   1.20029	2.15436e-05	0.000333413	  0.682171	0.000167396
	      26.5	       1.2	2.38261e-05	0.000333815	  0.519905	0.000167482
	      26.6	   1.19949	2.14438e-05	0.000334144	  0.417256	0.000167567
	      26.7	   1.19883	1.92997e-05	0.000334391	  0.346652	0.000167652
	      26.8	   1.19809	2.09079e-05	0.000334535	  0.297119	0.000167737
	      26.9	   1.19732	1.87845e-05	0.000334577	  0.260088	0.000167821
	        27	   1.19656	1.78173e-05	0.000334524	  0.231181	0.000167905
	      27.1	   1.19588	1.60362e-05	0.000334381	  0.207715	0.000167988
	      27.2	   1.19529	1.44331e-05	0.000334153	  0.188825	0.000168071
	      27.3	   1.19483	1.68069e-05	0.000333846	  0.172507	0.000168153
	      27.4	   1.19452	2.62092e-05	0.000333463	  0.158449	0.000168235
	      27.5	   1.19436	2.35886e-05	0.000332989	  0.369044	0.000168317
	      27.6	   1.19428	2.17051e-05	0.000332272	  0.312377	0.000168398
	      27.7	   1.19431	1.95364e-05	0.000331403	  0.271108	0.000168479
	      27.8	   1.19445	1.75847e-05	0.000330462	  0.240109	0.00016856
	      27.9	    1.1947	2.23348e-05	0.000329492	  0.215852	0.00016864
	        28	   1.19505	2.64599e-05	0.00032851	   0.19636	0.000168719
	      28.1	   1.19549	2.51529e-05	0.000327516	  0.180285	0.000168798
	      28.2	   1.19603	2.26366e-05	0.000326506	   0.16672	0.000168877
	      28.3	   1.19664	2.03717e-05	0.000325473	  0.155034	0.000168956
	      28.4	   1.19734	1.98916e-05	0.000324409	  0.144803	0.000169034
	      28.5	    1.1981	1.78955e-05	0.000323308	  0.135726	0.000169111
	      28.6	   1.19892	1.9314e-05	0.000322164	  0.127584	0.000169188
	      28.7	   1.19978	2.15324e-05	0.000320972	  0.120225	0.000169265
	      28.8	   1.20026	1.93799e-05	0.000319727	  0.113543	0.000169341
	      28.9	   1.20016	1.74426e-05	0.000318419	  0.107481	0.000169417
	        29	   1.20007	1.91415e-05	0.000317045	  0.103703	0.000169493
	      29.1	       1.2	1.72279e-05	0.000315599	  0.100181	0.000169568
	      29.2	   1.19986	1.90713e-05	0.000314086	 0.0968867	0.000169643
	      29.3	   1.19965	1.72549e-05	0.000312506	 0.0937971	0.000169718
	      29.4	   1.19936	2.05112e-05	0.000310863	 0.0908921	0.000169792
	      29.5	   1.19899	1.8461e-05	0.000309157	  0.993366	0.000169866
	      29.6	   1.19854	1.66158e-05	0.00030739	  0.745541	0.000169939
	      29.7	    1.1976	1.49551e-05	0.000305565	   0.55963	0.000170012
	      29.8	   1.19583	1.80663e-05	0.000303683	  0.443232	0.000170085
	      29.9	   1.19401	1.99361e-05	0.000301748	  0.368772	0.000170158
	        30	   1.19213	1.79232e-05	0.00029976	  0.316545	0.00017023
	      30.1	   1.19019	2.30059e-05	0.000297725	  0.276991	0.000170302
	      30.2	    1.1882	2.07064e-05	0.000295643	  0.245551	0.000170373
	      30.3	   1.18617	1.86419e-05	0.000293519	   0.21984	0.000170444
