The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	     302.5	        93	       539	   3046.02	   2498.27	9.67613e+06	   9433.38	3.04853e+07	   399.935	    451172
	       305	        94	       547	   3044.82	   2529.39	9.68245e+06	   8833.74	3.05074e+07	   365.583	    452086
	       306	        95	       551	   3044.38	   2490.83	9.68494e+06	   8538.56	3.05159e+07	   442.437	    452528
	       308	        96	       554	   3043.49	   2479.55	9.6899e+06	   8290.39	3.05325e+07	   456.723	    453442
	       310	        97	       560	   3042.66	    2491.4	9.69488e+06	   8096.45	3.05487e+07	     459.2	    454360
	       311	        98	       562	   3042.26	   2486.13	9.69737e+06	    8010.3	3.05567e+07	    471.69	    454832
	       313	        99	       565	   3041.46	   2484.84	9.70234e+06	   7868.21	3.05725e+07	   482.618	    455797
	       315	       100	       568	   3040.69	    2486.5	9.70731e+06	   7734.77	3.05879e+07	   491.464	    456780
	       316	       101	       570	   3040.31	    2484.6	9.7098e+06	   7644.95	3.05956e+07	   496.439	    457276
	       318	       102	       572	   3039.58	   2482.91	9.71476e+06	   7479.48	3.06105e+07	   503.682	    458284
	       320	       103	       574	   3038.87	   2486.18	9.71973e+06	   7309.02	3.06252e+07	   511.114	    459306
	       321	       104	       576	   3038.52	   2483.29	9.72222e+06	   7207.08	3.06324e+07	   514.483	    459820
	       323	       105	       578	   3037.84	   2484.14	9.72719e+06	   7004.75	3.06464e+07	   520.494	    460861
	       327	       107	       584	   3036.54	   2480.57	9.73711e+06	   6564.36	3.06726e+07	   529.417	    462979
	       331	       110	       605	   3035.29	   2480.06	9.74703e+06	   6239.98	3.06976e+07	   536.501	    465125
	       334	       112	       640	   3034.39	   2480.01	9.75447e+06	   6021.23	3.07156e+07	   539.045	    466742
	       340	       116	       653	   3032.68	   2479.02	9.76934e+06	   5649.74	3.07495e+07	   544.707	    470010
	       349	       118	       659	   3030.35	   2477.72	9.79164e+06	   5218.73	3.07965e+07	   552.938	    474987
	       359	       119	       662	    3027.9	   2474.84	9.81639e+06	   5080.83	3.08473e+07	   557.887	    480566
	       360	       120	       664	   3027.72	   2476.03	9.81887e+06	   4952.13	3.08523e+07	   557.784	    481124
	     360.5	       123	       680	    3026.8	   32648.1	9.83519e+06	   73925.2	3.08892e+07	   4927.63	    483587
	       361	       124	       684	   3026.09	   30977.5	9.85068e+06	   77764.4	3.09281e+07	   4560.34	    485867
	       362	       126	       696	   3024.68	     30442	9.88112e+06	   81051.6	3.10092e+07	   4102.53	    489970
	       363	       128	       700	   3023.25	     30156	9.91128e+06	   82749.8	3.10919e+07	   3797.36	    493767
	       364	       129	       704	   3021.81	   30029.8	9.94131e+06	   84059.7	3.1176e+07	   3587.71	    497355
	       366	       130	       710	   3018.91	   29757.5	1.00008e+07	   86052.6	3.13481e+07	   3342.69	    504040
	       367	       131	       712	   3017.48	   29657.3	1.00305e+07	   86954.6	3.1435e+07	   3222.65	    507263
	       369	       133	       718	   3014.51	   29386.4	1.00893e+07	   89834.2	3.16147e+07	   3091.97	    513447
	       370	       134	       720	   3013.01	   29280.6	1.01185e+07	   91238.6	3.17059e+07	    3047.1	    516494
	       371	       135	       722	    3011.5	   29162.4	1.01477e+07	   92551.1	3.17985e+07	   2903.73	    519398
	       373	       136	       725	   3008.41	   28940.8	1.02056e+07	     95060	3.19886e+07	   2830.72	    525059
