The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	    372.25	        86	       235	   6003.93	     20000	7.44498e+06	   25498.8	9.4277e+06	         0	   1.27487
	    380.25	        87	       238	   6027.64	     20000	7.60498e+06	   25498.3	9.63168e+06	         0	   1.27487
	    390.25	        88	       241	   6056.09	     20000	7.80498e+06	   25498.2	9.88666e+06	         0	   1.27487
	    400.25	        90	       247	   6080.71	     20000	8.00498e+06	   25498.7	1.01416e+07	         0	   1.27487
	    410.25	        91	       251	   6106.32	     20000	8.20498e+06	   25499.6	1.03966e+07	         0	   1.27487
	    420.25	        92	       254	   6132.27	     20000	8.40498e+06	   25500.5	1.06517e+07	         0	   1.27487
	    430.25	        93	       257	   6159.52	     20000	8.60498e+06	   25501.2	1.09067e+07	         0	   1.27487
	    440.25	        94	       260	   6187.66	     20000	8.80498e+06	   25501.6	1.11617e+07	         0	   1.27487
	    450.25	        95	       263	   6210.04	     20000	9.00498e+06	   25501.5	1.14167e+07	         0	   1.27487
	    460.25	        96	       266	   6234.64	     20000	9.20498e+06	   25500.9	1.16717e+07	         0	   1.27487
	    470.25	        97	       269	   6259.89	     20000	9.40498e+06	   25499.8	1.19267e+07	         0	   1.27487
	    480.25	        98	       272	   6285.81	     20000	9.60498e+06	   25498.2	1.21817e+07	         0	   1.27487
	    490.25	       100	       278	   6308.97	     20000	9.80498e+06	   25496.1	1.24366e+07	         0	   1.27487
	    500.25	       101	       281	   6333.23	     20000	1.0005e+07	   25493.8	1.26916e+07	         0	   1.27487
	    510.25	       102	       284	   6357.73	     20000	1.0205e+07	     25491	1.29465e+07	         0	   1.27487
	    520.25	       103	       287	   6379.95	     20000	1.0405e+07	     25488	1.32014e+07	         0	   1.27487
	    530.25	       104	       290	   6403.67	     20000	1.0605e+07	   25484.7	1.34562e+07	         0	   1.27487
	    540.25	       105	       293	   6427.18	     20000	1.0805e+07	   25481.3	1.3711e+07	         0	   1.27487
	    550.25	       106	       296	   6452.34	     20000	1.1005e+07	   25477.8	1.39658e+07	         0	   1.27487
	   550.875	       107	       298	      6453	     20000	1.10175e+07	   25477.5	1.39817e+07	         0	   1.27487
	   551.875	       108	       300	   6455.26	     20000	1.10375e+07	   25477.1	1.40072e+07	         0	   1.27487
	   553.875	       109	       302	   6459.83	     20000	1.10775e+07	   25476.4	1.40582e+07	         0	   1.27487
	   557.875	       110	       305	   6468.98	     20000	1.11575e+07	     25475	1.41601e+07	         0	   1.27487
	   565.875	       111	       308	   6487.51	     20000	1.13175e+07	   25472.1	1.43638e+07	         0	   1.27487
	   575.875	       113	       314	   6510.21	     20000	1.15175e+07	   25468.5	1.46185e+07	         0	   1.27487
	   585.875	       115	       320	   6533.66	     20000	1.17175e+07	     25465	1.48732e+07	         0	   1.27487
	   595.875	       117	       326	   6557.29	     20000	1.19175e+07	   25461.7	1.51278e+07	         0	   1.27487
	   605.875	       118	       329	    6580.4	     20000	1.21175e+07	   25458.6	1.53824e+07	         0	   1.27487
	   615.875	       119	       332	   6603.88	     20000	1.23175e+07	   25455.8	1.56369e+07	         0	   1.27487
	   625.875	       121	       338	   6622.62	     20000	1.25175e+07	   25453.4	1.58915e+07	         0	   1.27487
	   635.875	       122	       341	   6643.06	     20000	1.27175e+07	   25451.9	1.6146e+07	         0	   1.27487
	   645.875	       124	       347	   6663.52	     20000	1.29175e+07	   25451.4	1.64005e+07	         0	   1.27487
	   655.875	       125	       350	   6682.79	     20000	1.31175e+07	   25452.2	1.6655e+07	         0	   1.27487
	   665.875	       126	       353	   6701.73	     20000	1.33175e+07	   25454.2	1.69096e+07	         0	   1.27487
	   675.875	       128	       359	   6720.71	     20000	1.35175e+07	     25459	1.71642e+07	         0	   1.27487
	   685.875	       129	       363	   6739.29	     20000	1.37175e+07	   25465.8	1.74188e+07	         0	   1.27487
	   695.875	       130	       366	   6757.44	     20000	1.39175e+07	   25474.2	1.76736e+07	         0	   1.27487
	   705.875	       131	       369	   6776.19	     20000	1.41175e+07	   25492.8	1.79285e+07	         0	   1.27487
	   715.875	       133	       374	   6795.06	     20000	1.43175e+07	   25522.4	1.81837e+07	         0	   1.27487
	   725.875	       134	       377	   6813.11	   20000.1	1.45175e+07	     25548	1.84392e+07	         0	   1.27487
	     733.5	       135	       380	    6826.7	     20000	 1.467e+07	   25565.8	1.86341e+07	         0	   1.27487
	     734.5	       136	       382	    6828.5	     20000	 1.469e+07	   25578.2	1.86597e+07	         0	   1.27487
	     736.5	       137	       384	   6832.21	   20000.1	 1.473e+07	   25608.3	1.87109e+07	         0	   1.27487
	     740.5	       138	       386	   6839.73	   20001.2	 1.481e+07	   25690.8	1.88137e+07	         0	   1.27487
	     748.5	       139	       389	   6855.46	   20012.5	1.49701e+07	   25955.3	1.90213e+07	         0	   1.27487
	     758.5	       141	       394	   6873.19	     19959	1.51697e+07	     25984	1.92812e+07	         0	   1.27487
	     768.5	       143	       400	   6889.63	   20000.1	1.53697e+07	   27102.5	1.95522e+07	         0	   1.27487
	     778.5	       145	       405	   6904.61	     20000	1.55697e+07	   29952.3	1.98517e+07	         0	   1.27487
	     788.5	       147	       410	   6917.09	   20012.8	1.57698e+07	   35073.8	2.02025e+07	         0	   1.27487
	     798.5	       148	       413	   6927.08	   19876.3	1.59686e+07	   40591.8	2.06084e+07	         0	   1.27487
	     808.5	       149	       416	   6934.37	   19882.2	1.61674e+07	   46390.7	2.10723e+07	         0	   1.27487
	     818.5	       151	       422	   6939.22	   20000.1	1.63674e+07	   52175.3	2.1594e+07	         0	   1.27487
	     828.5	       153	       427	   6941.58	   20000.1	1.65674e+07	   58059.5	2.21746e+07	         0	   1.27487
	     838.5	       154	       430	   6941.05	   19957.9	1.6767e+07	   64915.4	2.28238e+07	         0	   1.27487
	     848.5	       155	       433	    6938.3	   19973.8	1.69667e+07	   70497.3	2.35288e+07	         0	   1.27487
	     858.5	       156	       436	    6933.7	   19982.3	1.71665e+07	   75236.8	2.42811e+07	         0	   1.27487
	     868.5	       157	       439	   6927.47	   19986.3	1.73664e+07	   79534.5	2.50765e+07	         0	   1.27487
	     878.5	       158	       442	   6919.76	   19988.9	1.75663e+07	   83489.6	2.59114e+07	         0	   1.27487
	     888.5	       159	       445	   6910.59	   19990.6	1.77662e+07	   87216.9	2.67835e+07	         0	   1.27487
	     898.5	       160	       448	   6900.08	   19991.5	1.79661e+07	     90845	2.7692e+07	         0	   1.27487
	     908.5	       161	       451	    6888.2	   19992.1	1.8166e+07	   94413.5	2.86361e+07	         0	   1.27487
	   916.125	       162	       454	   6878.36	   19995.6	1.83185e+07	     97108	2.93766e+07	         0	   1.27487
	   917.125	       163	       456	   6877.07	   19999.9	1.83385e+07	     97479	2.9474e+07	         0	   1.27487
	   919.125	       164	       459	   6874.41	   19999.7	1.83785e+07	   98178.9	2.96704e+07	         0	   1.27487
	   923.125	       165	       462	   6868.86	   19998.8	1.84585e+07	   99637.1	3.0069e+07	         0	   1.27487
	   931.125	       166	       465	   6856.85	     19995	1.86184e+07	    102596	3.08897e+07	         0	   1.27487
	   941.125	       167	       468	   6840.42	   19992.7	1.88184e+07	    106250	3.19522e+07	         0	   1.27487
	   951.125	       168	       471	   6822.34	   19993.5	1.90183e+07	    109762	3.30498e+07	         0	   1.27487
	   961.125	       169	       474	   6802.95	   19994.4	1.92183e+07	    113071	3.41805e+07	         0	   1.27487
	   971.125	       170	       477	   6782.33	   19995.3	1.94182e+07	    116182	3.53424e+07	         0	   1.27487
	   981.125	       171	       480	   6760.56	     19996	1.96182e+07	    119103	3.65334e+07	         0	   1.27487
	   991.125	       172	       483	   6737.69	   19996.6	1.98181e+07	    121846	3.77519e+07	         0	   1.27487
	   1001.12	       173	       487	   6713.03	     19997	2.00181e+07	    124443	3.89963e+07	         0	   1.27487
	   1011.12	       174	       491	   6687.51	   19997.4	2.02181e+07	    126904	4.02653e+07	         0	   1.27487
	   1021.12	       175	       495	   6661.03	   19997.8	2.04181e+07	    129230	4.15576e+07	         0	   1.27487
	   1031.12	       176	       499	   6633.64	   19998.2	2.0618e+07	    131390	4.28715e+07	         0	   1.27487
	   1041.12	       177	       503	   6605.38	   19998.4	2.0818e+07	    133429	4.42058e+07	         0	   1.27487
	   1051.12	       178	       507	    6576.3	   19917.9	2.10172e+07	    135422	 4.556e+07	         0	   1.27487
	   1061.12	       180	       514	   6546.78	     20000	2.12172e+07	    137310	4.69331e+07	         0	   1.27487
	   1071.12	       181	       518	   6516.53	   19998.9	2.14172e+07	    139126	4.83244e+07	         0	   1.27487
	   1081.12	       182	       522	   6485.54	   19999.6	2.16172e+07	    140698	4.97314e+07	         0	   1.27487
	   1091.12	       183	       526	   6453.92	   19999.9	2.18172e+07	    142100	5.11524e+07	         0	   1.27487
	   1098.75	       184	       530	   6429.46	   20000.1	2.19697e+07	    143102	5.22435e+07	         0	   1.27487
	   1099.75	       185	       533	   6426.22	     20000	2.19897e+07	    143238	5.23868e+07	         0	   1.27487
	   1101.75	       186	       537	   6419.77	     20000	2.20297e+07	    143492	5.26737e+07	         0	   1.27487
	   1105.75	       187	       541	   6406.77	     20000	2.21097e+07	    143987	5.32497e+07	3.09295e-05	   1.27499
	   1113.75	       188	       545	   6380.44	   20000.2	2.22697e+07	    144931	5.44091e+07	0.000497807	   1.27898
	   1123.75	       189	       549	   6346.99	   20000.5	2.24697e+07	    146046	5.58696e+07	0.00108991	   1.28988
	   1133.75	       191	       556	   6313.54	   19753.3	2.26672e+07	    145081	5.73204e+07	0.00142943	   1.30417
	   1143.75	       192	       560	    6280.8	   19542.4	2.28627e+07	    144446	5.87649e+07	0.00175007	   1.32167
	   1153.75	       193	       564	   6248.35	   19335.2	2.3056e+07	    143866	6.02035e+07	0.00204767	   1.34215
	   1163.75	       196	       575	   6214.95	   19131.1	2.32473e+07	    143283	6.16364e+07	0.00233706	   1.36552
	   1173.75	       197	       579	   6182.16	   18932.4	2.34366e+07	    142677	6.30631e+07	0.00263272	   1.39185
	   1183.75	       198	       582	   6149.91	   18739.5	2.3624e+07	    142044	6.44836e+07	0.00292126	   1.42106
	   1193.75	       199	       585	   6117.98	   18543.5	2.38095e+07	    141477	6.58983e+07	0.00319659	   1.45302
	   1203.75	       200	       588	    6086.4	   18354.9	2.3993e+07	    140857	6.73069e+07	 0.0034745	   1.48777
	   1213.75	       201	       591	   6055.18	     18176	2.41748e+07	    140203	6.87089e+07	0.00374768	   1.52525
	   1223.75	       202	       594	    6024.4	   18006.5	2.43548e+07	    139522	7.01042e+07	0.00401523	    1.5654
	   1233.75	       203	       597	   5993.97	   17843.8	2.45333e+07	    138827	7.14924e+07	0.00427714	   1.60817
	   1243.75	       204	       601	   5963.93	     17687	2.47102e+07	    138124	7.28737e+07	0.00453331	    1.6535
	   1253.75	       205	       605	   5934.28	     17536	2.48855e+07	    137414	7.42478e+07	0.00478366	   1.70134
	   1263.75	       206	       608	   5905.18	   17396.5	2.50595e+07	    136739	7.56152e+07	0.00501563	    1.7515
	   1273.75	       207	       612	   5876.46	   17257.4	2.5232e+07	    136037	7.69756e+07	0.00525088	     1.804
	   1283.75	       208	       615	   5848.12	   17122.6	2.54033e+07	    135330	7.83289e+07	0.00548122	   1.85882
	   1293.75	       209	       618	   5820.19	   16991.7	2.55732e+07	    134622	7.96751e+07	0.00570649	   1.91588
	   1303.75	       210	       621	   5792.65	   16864.1	2.57418e+07	    133917	8.10143e+07	0.00592648	   1.97515
	   1313.75	       211	       624	   5765.51	   16739.7	2.59092e+07	    133217	8.23464e+07	0.00614118	   2.03656
	   1323.75	       212	       627	   5738.76	   16618.3	2.60754e+07	    132524	8.36717e+07	0.00635052	   2.10006
	   1333.75	       213	       630	    5712.4	   16499.7	2.62404e+07	    131839	8.49901e+07	0.00655441	   2.16561
	   1343.75	       214	       633	   5685.88	   16383.2	2.64042e+07	    131157	8.63016e+07	0.00675433	   2.23315
	   1353.75	       215	       636	   5660.13	   16271.3	2.6567e+07	    130498	8.76066e+07	0.00694511	    2.3026
	   1363.75	       216	       639	   5634.66	     16160	2.67286e+07	    129834	8.8905e+07	0.00713479	   2.37395
	   1373.75	       217	       642	   5609.58	     16051	2.68891e+07	    129174	9.01967e+07	0.00732017	   2.44715
	   1383.75	       218	       646	    5584.9	   15943.7	2.70485e+07	    128527	9.1482e+07	 0.0075005	   2.52216
	   1393.75	       219	       649	    5560.6	   15839.4	2.72069e+07	    127888	9.27608e+07	0.00767575	   2.59891
	   1403.75	       220	       652	   5536.83	   15740.1	2.73643e+07	    127283	9.40337e+07	 0.0078402	   2.67732
	   1413.75	       221	       655	   5513.34	   15640.3	2.75207e+07	    126672	9.53004e+07	0.00800476	   2.75736
	   1423.75	       222	       658	    5490.2	     15542	2.76761e+07	    126070	9.65611e+07	 0.0081654	   2.83902
	   1433.75	       223	       661	    5467.4	   15445.3	2.78306e+07	    125478	9.78159e+07	0.00832166	   2.92223
	   1443.75	       224	       664	   5445.12	   15352.2	2.79841e+07	    124923	9.90651e+07	0.00846831	   3.00692
	   1453.75	       225	       667	   5423.13	   15258.7	2.81367e+07	    124370	1.00309e+08	0.00861395	   3.09306
	   1463.75	       226	       670	   5401.08	   15166.5	2.82883e+07	    123818	1.01547e+08	0.00875718	   3.18063
	      1464	       227	       672	   5400.53	   15163.9	2.82921e+07	    123804	1.01578e+08	0.00875831	   3.18282
	      1465	       228	       674	   5398.34	   15154.6	2.83073e+07	    123749	1.01702e+08	0.00877262	   3.19159
	      1467	       229	       677	   5393.97	   15135.9	2.83376e+07	    123639	1.01949e+08	0.00880116	   3.20919
	      1471	       230	       680	    5385.3	     15099	2.8398e+07	    123422	1.02443e+08	0.00885777	   3.24462
	      1479	       231	       683	   5368.15	   15026.2	2.85182e+07	    122992	1.03427e+08	0.00896942	   3.31638
	      1489	       232	       686	   5347.02	   14936.8	2.86675e+07	    122466	1.04651e+08	 0.0091045	   3.40742
	      1499	       233	       689	   5326.47	   14850.8	2.8816e+07	    121974	1.05871e+08	0.00923014	   3.49973
	      1509	       234	       692	   5306.14	   14764.1	2.89637e+07	    121488	1.07086e+08	0.00935443	   3.59327
	      1519	       235	       695	   5286.25	     14679	2.91105e+07	    121022	1.08296e+08	0.00947355	   3.68801
	      1529	       236	       698	   5266.63	   14593.7	2.92564e+07	    120567	1.09502e+08	0.00959039	   3.78391
	      1539	       237	       701	   5247.28	     14509	2.94015e+07	    120120	1.10703e+08	0.00970467	   3.88096
