The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	   39.2142	         1	         2	   4883.75	     20000	    784284	   24911.6	    983108	0.00640193	  0.203358
	   40.2142	         1	         2	   4885.99	     20000	    804284	   24967.2	1.00808e+06	0.00643391	  0.209791
	    40.597	         1	         2	   4887.03	     20000	    811939	   25019.4	1.01765e+06	0.00646482	  0.212266
	   40.8348	         1	         2	   4887.66	     20000	    816696	   25038.8	1.02361e+06	0.00647694	  0.213806
	   41.0288	         1	         2	   4888.16	     20000	    820575	   25050.6	1.02847e+06	0.00648432	  0.215064
	   41.2252	         1	         1	   4888.67	     20000	    824503	   25060.1	1.03339e+06	0.00649028	  0.216339
	   41.4724	         1	         1	    4889.3	     20000	    829449	   25069.6	1.03959e+06	0.00649627	  0.217945
	   41.8859	         1	         2	   4890.33	     20000	    837718	   25081.3	1.04996e+06	0.00650372	  0.220634
	        42	         1	         1	   4890.62	     20000	    840000	   25100.4	1.05282e+06	0.00651583	  0.221378
	      42.1	         1	         2	   4890.91	     20000	    842000	   25105.6	1.05533e+06	0.00651921	   0.22203
	      42.4	         1	         2	    4891.8	     20000	    848000	   25110.1	1.06287e+06	0.00652215	  0.223986
	      43.3	         1	         2	   4894.42	     20000	    866000	   25123.4	1.08548e+06	0.00653081	  0.229864
	      44.3	         1	         2	   4897.28	     20000	    886000	     25161	1.11064e+06	0.00655525	  0.236419
	      45.3	         1	         2	   4900.12	     20000	    906000	   25199.6	1.13584e+06	0.00658148	  0.243001
	      46.3	         1	         2	   4902.93	     20000	    926000	   25235.1	1.16107e+06	0.00660662	  0.249608
	      47.3	         1	         2	    4905.7	     20000	    946000	   25267.5	1.18634e+06	0.00663062	  0.256238
	      48.3	         1	         2	   4908.43	     20000	    966000	   25296.8	1.21164e+06	0.00665345	  0.262892
	      49.3	         1	         2	   4911.12	     20000	    986000	   25323.3	1.23696e+06	0.00667508	  0.269567
	        50	         1	         2	   4912.98	     20000	     1e+06	   25346.8	1.2547e+06	0.00669552	  0.274254
	      50.1	         1	         1	   4913.24	     20000	 1.002e+06	   25361.9	1.25724e+06	0.00670935	  0.274924
	      50.4	         1	         1	   4914.03	     20000	 1.008e+06	   25364.1	1.26485e+06	0.00671134	  0.276938
	      51.3	         1	         2	   4916.37	     20000	 1.026e+06	   25370.1	1.28768e+06	0.00671716	  0.282983
	      52.3	         1	         2	   4918.94	     20000	 1.046e+06	   25386.3	1.31307e+06	0.00673336	  0.289717
	      53.3	         1	         2	   4921.45	     20000	 1.066e+06	   25401.8	1.33847e+06	0.00675022	  0.296467
	      54.3	         1	         2	   4923.93	     20000	 1.086e+06	   25414.8	1.36388e+06	0.00676592	  0.303233
	      55.3	         1	         2	   4926.37	     20000	 1.106e+06	   25425.4	1.38931e+06	0.00678048	  0.310013
	      56.3	         1	         2	   4928.76	     20000	 1.126e+06	   25433.7	1.41474e+06	0.00679388	  0.316807
	      57.3	         1	         2	   4931.11	     20000	 1.146e+06	   25439.7	1.44018e+06	0.00680612	  0.323613
	      58.3	         1	         2	   4933.42	     20000	 1.166e+06	   25443.6	1.46563e+06	0.00681726	  0.330431
	      59.3	         1	         2	   4935.69	     20000	 1.186e+06	   25445.4	1.49107e+06	 0.0068273	  0.337258
	      60.3	         1	         2	   4937.93	     20000	 1.206e+06	   25445.3	1.51652e+06	0.00683625	  0.344094
	      61.3	         1	         2	   4940.15	     20000	 1.226e+06	   25443.3	1.54196e+06	0.00684418	  0.350938
	      62.3	         1	         2	   4942.33	     20000	 1.246e+06	   25439.5	1.5674e+06	0.00685106	  0.357789
	      63.3	         1	         2	   4944.48	     20000	 1.266e+06	   25434.1	1.59283e+06	0.00685695	  0.364646
	      64.3	         1	         2	   4946.61	     20000	 1.286e+06	   25427.1	1.61826e+06	0.00686183	  0.371508
	      65.3	         1	         2	   4948.71	     20000	 1.306e+06	   25418.5	1.64368e+06	0.00686572	  0.378374
	      66.3	         1	         2	   4950.83	     20000	 1.326e+06	   25408.6	1.66909e+06	0.00686866	  0.385242
	      67.3	         1	         2	   4952.91	     20000	 1.346e+06	   25397.3	1.69449e+06	0.00687068	  0.392113
	      68.3	         1	         2	   4954.98	     20000	 1.366e+06	   25384.7	1.71987e+06	0.00687179	  0.398985
	      69.3	         1	         2	   4957.02	     20000	 1.386e+06	     25371	1.74524e+06	0.00687204	  0.405857
	      70.3	         1	         2	   4959.05	     20000	 1.406e+06	   25356.3	1.7706e+06	0.00687142	  0.412728
	      71.3	         1	         2	   4961.07	     20000	 1.426e+06	   25340.5	1.79594e+06	0.00686999	  0.419598
	      72.3	         1	         2	   4963.06	     20000	 1.446e+06	   25323.8	1.82126e+06	0.00686775	  0.426466
	   72.8204	         1	         2	    4964.5	     20000	1.45641e+06	   25306.2	1.83443e+06	0.00686475	  0.430039
	   73.3864	         1	         2	   4965.96	     20000	1.46773e+06	   25296.9	1.84875e+06	 0.0068629	  0.433923
	   74.3864	         1	         2	   4968.42	     20000	1.48773e+06	   25286.5	1.87404e+06	0.00686069	  0.440784
	   75.3864	         1	         2	   4970.79	     20000	1.50773e+06	   25267.5	1.8993e+06	0.00685618	   0.44764
	   76.3864	         1	         2	   4973.14	     20000	1.52773e+06	   25247.7	1.92455e+06	0.00685092	  0.454491
	   77.3864	         1	         2	   4975.49	     20000	1.54773e+06	   25227.4	1.94978e+06	  0.006845	  0.461336
	   78.3864	         1	         2	   4977.83	     20000	1.56773e+06	   25206.6	1.97499e+06	0.00683845	  0.468174
	   79.3864	         1	         2	   4980.15	     20000	1.58773e+06	   25185.4	2.00017e+06	0.00683128	  0.475006
	   80.3864	         1	         2	   4982.97	     20000	1.60773e+06	   25163.8	2.02533e+06	0.00682349	  0.481829
	   81.3864	         1	         2	   4985.59	     20000	1.62773e+06	   25141.8	2.05048e+06	 0.0068151	  0.488644
	   82.3864	         1	         2	    4988.2	     20000	1.64773e+06	   25119.5	2.0756e+06	0.00680622	   0.49545
	   83.3864	         1	         2	   4990.79	     20000	1.66773e+06	     25097	2.10069e+06	0.00679675	  0.502247
	   84.3864	         1	         2	   4993.36	     20000	1.68773e+06	   25074.3	2.12577e+06	0.00678676	  0.509034
	   85.3864	         1	         2	   4995.91	     20000	1.70773e+06	   25051.5	2.15082e+06	0.00677627	   0.51581
	   86.3864	         1	         2	   4998.45	     20000	1.72773e+06	   25028.5	2.17585e+06	 0.0067653	  0.522575
	   87.3864	         1	         2	   5000.96	     20000	1.74773e+06	   25005.5	2.20085e+06	0.00675387	  0.529329
	   88.3864	         1	         2	   5003.45	     20000	1.76773e+06	   24982.4	2.22583e+06	0.00674198	  0.536071
	   89.3864	         1	         2	   5005.91	     20000	1.78773e+06	   24959.3	2.25079e+06	0.00672965	  0.542801
	   90.3864	         1	         2	   5008.34	     20000	1.80773e+06	   24936.3	2.27573e+06	 0.0067169	  0.549518
	   91.3864	         1	         2	   5010.75	     20000	1.82773e+06	   24913.2	2.30064e+06	0.00670374	  0.556222
	   92.3864	         1	         2	   5013.13	     20000	1.84773e+06	   24890.3	2.32553e+06	0.00669019	  0.562912
	   93.3864	         1	         2	   5015.48	     20000	1.86773e+06	   24867.4	2.3504e+06	0.00667626	  0.569588
	   94.3864	         1	         2	   5017.81	     20000	1.88773e+06	   24844.7	2.37525e+06	0.00666197	   0.57625
	   95.3864	         1	         2	   5020.11	     20000	1.90773e+06	   24822.1	2.40007e+06	0.00664733	  0.582897
	   96.3864	         1	         2	    5022.4	     20000	1.92773e+06	   24799.7	2.42487e+06	0.00663234	   0.58953
	   97.3864	         1	         2	   5024.66	     20000	1.94773e+06	   24777.5	2.44965e+06	0.00661703	  0.596147
	   98.3864	         1	         2	    5026.9	     20000	1.96773e+06	   24755.4	2.4744e+06	0.00660142	  0.602748
	   99.3864	         1	         2	   5029.12	     20000	1.98773e+06	   24733.6	2.49913e+06	0.00658551	  0.609334
	   100.386	         1	         2	   5031.32	     20000	2.00773e+06	   24712.1	2.52385e+06	0.00656931	  0.615903
	   101.386	         1	         2	   5033.49	     20000	2.02773e+06	   24690.8	2.54854e+06	0.00655284	  0.622456
	   102.386	         1	         2	   5035.65	     20000	2.04773e+06	   24669.8	2.57321e+06	0.00653611	  0.628992
	   103.386	         1	         2	    5037.8	     20000	2.06773e+06	     24649	2.59786e+06	0.00651912	  0.635511
	   104.386	         1	         2	   5039.92	     20000	2.08773e+06	   24628.6	2.62248e+06	0.00650193	  0.642013
	   105.386	         1	         2	   5042.03	     20000	2.10773e+06	   24608.5	2.64709e+06	0.00648453	  0.648498
	   106.386	         1	         2	   5044.13	     20000	2.12773e+06	   24588.8	2.67168e+06	0.00646692	  0.654964
	   107.386	         1	         2	   5046.24	     20000	2.14773e+06	   24569.4	2.69625e+06	0.00644912	  0.661414
	   108.386	         1	         2	   5048.43	     20000	2.16773e+06	   24550.8	2.7208e+06	0.00643113	  0.667845
	   109.386	         1	         2	   5050.61	     20000	2.18773e+06	   24533.1	2.74534e+06	0.00641305	  0.674258
	   110.386	         1	         2	   5052.79	     20000	2.20773e+06	   24516.2	2.76985e+06	0.00639472	  0.680652
	    111.11	         1	         2	   5054.57	     20000	2.2222e+06	   24500.1	2.78758e+06	0.00637632	  0.685265
	    112.11	         1	         2	   5056.93	     20000	2.2422e+06	     24489	2.81206e+06	0.00636293	  0.691628
	    113.11	         1	         2	   5059.24	     20000	2.2622e+06	   24474.3	2.83654e+06	0.00634446	  0.697973
	    114.11	         1	         2	   5061.55	     20000	2.2822e+06	   24460.4	 2.861e+06	0.00632583	  0.704298
	    115.11	         1	         2	   5064.21	     20000	2.3022e+06	   24457.1	2.88546e+06	0.00630731	  0.710606
