The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	    132.11	         1	         2	   5107.41	     20000	2.6422e+06	   24720.3	3.30363e+06	0.00601995	  0.815204
	    133.11	         1	         2	   5110.01	     20000	2.6622e+06	   24735.3	3.32837e+06	0.00600362	  0.821208
	    134.11	         1	         2	   5112.59	     20000	2.6822e+06	   24750.3	3.35312e+06	0.00598731	  0.827195
	    135.11	         1	         2	   5115.15	     20000	2.7022e+06	   24765.3	3.37788e+06	0.00597102	  0.833166
	    136.11	         1	         2	   5117.68	     20000	2.7222e+06	   24780.3	3.40266e+06	0.00595473	  0.839121
	    137.11	         1	         2	    5120.2	     20000	2.7422e+06	   24795.2	3.42746e+06	0.00593845	  0.845059
	    138.11	         1	         2	    5122.7	     20000	2.7622e+06	   24810.2	3.45227e+06	0.00592218	  0.850981
	    139.11	         1	         2	   5125.18	     20000	2.7822e+06	   24825.1	3.47709e+06	0.00590591	  0.856887
	    140.11	         1	         2	   5127.64	     20000	2.8022e+06	   24840.1	3.50193e+06	0.00588964	  0.862777
	    141.11	         1	         2	   5130.07	     20000	2.8222e+06	   24855.1	3.52679e+06	0.00587337	   0.86865
	    142.11	         1	         2	   5132.48	     20000	2.8422e+06	   24870.1	3.55166e+06	 0.0058571	  0.874507
	    143.11	         1	         2	   5134.88	     20000	2.8622e+06	   24885.1	3.57654e+06	0.00584082	  0.880348
	    144.11	         1	         2	   5137.25	     20000	2.8822e+06	   24900.1	3.60144e+06	0.00582453	  0.886173
	    145.11	         1	         2	    5139.6	     20000	2.9022e+06	   24915.1	3.62636e+06	0.00580823	  0.891981
	    146.11	         1	         2	   5141.94	     20000	2.9222e+06	   24930.1	3.65129e+06	0.00579192	  0.897773
	    147.11	         1	         2	   5144.25	     20000	2.9422e+06	   24945.2	3.67623e+06	 0.0057756	  0.903548
	    148.11	         1	         2	   5146.55	     20000	2.9622e+06	   24960.2	3.70119e+06	0.00575928	  0.909308
	    149.11	         1	         2	   5148.84	     20000	2.9822e+06	   24975.3	3.72617e+06	0.00574295	  0.915051
	    150.11	         1	         2	   5151.13	     20000	3.0022e+06	   24990.4	3.75116e+06	0.00572661	  0.920777
	    151.11	         1	         2	    5153.4	     20000	3.0222e+06	   25005.4	3.77616e+06	0.00571026	  0.926487
	    152.11	         1	         2	   5155.65	     20000	3.0422e+06	   25020.5	3.80118e+06	 0.0056939	  0.932181
	    153.11	         1	         2	   5157.89	     20000	3.0622e+06	   25035.7	3.82622e+06	0.00567754	  0.937859
	    154.11	         1	         2	   5160.11	     20000	3.0822e+06	   25050.8	3.85127e+06	0.00566118	   0.94352
	    155.11	         1	         2	   5162.32	     20000	3.1022e+06	   25065.9	3.87634e+06	 0.0056448	  0.949165
	    156.11	         1	         2	   5164.51	     20000	3.1222e+06	     25081	3.90142e+06	0.00562844	  0.954793
	    157.11	         1	         2	   5166.68	     20000	3.1422e+06	   25096.1	3.92651e+06	0.00561208	  0.960405
	    158.11	         1	         2	   5168.84	     20000	3.1622e+06	   25111.2	3.95163e+06	0.00559574	  0.966001
	    159.11	         1	         2	   5171.26	     20000	3.1822e+06	   25126.3	3.97675e+06	 0.0055794	  0.971581
	    160.11	         1	         2	   5173.66	     20000	3.2022e+06	   25141.5	4.00189e+06	0.00556308	  0.977144
	    161.11	         1	         2	   5176.05	     20000	3.2222e+06	   25156.6	4.02705e+06	0.00554676	   0.98269
	    162.11	         1	         2	   5178.42	     20000	3.2422e+06	   25171.6	4.05222e+06	0.00553046	  0.988221
	    163.11	         1	         2	   5180.78	     20000	3.2622e+06	   25186.7	4.07741e+06	0.00551417	  0.993735
	    164.11	         1	         2	   5183.12	     20000	3.2822e+06	   25201.8	4.10261e+06	 0.0054979	  0.999233
	    165.11	         1	         2	   5185.45	     20000	3.3022e+06	   25216.9	4.12783e+06	0.00548165	   1.00471
	    166.11	         1	         2	   5187.76	     20000	3.3222e+06	   25231.9	4.15306e+06	0.00546541	   1.01018
	    167.11	         1	         2	   5190.06	     20000	3.3422e+06	     25247	4.17831e+06	0.00544919	   1.01563
	    168.11	         1	         2	   5192.35	     20000	3.3622e+06	     25262	4.20357e+06	0.00543298	   1.02106
	    169.11	         1	         2	   5194.62	     20000	3.3822e+06	     25277	4.22884e+06	0.00541678	   1.02648
	    170.11	         1	         2	   5196.88	     20000	3.4022e+06	     25292	4.25414e+06	 0.0054006	   1.03188
	    171.11	         1	         2	   5199.53	     20000	3.4222e+06	   25307.1	4.27944e+06	0.00538443	   1.03726
	    172.11	         1	         2	   5201.99	     20000	3.4422e+06	   25322.1	4.30477e+06	0.00536826	   1.04263
	    173.11	         1	         2	   5204.42	     20000	3.4622e+06	   25337.1	4.3301e+06	0.00535213	   1.04798
	    174.11	         1	         2	   5206.85	     20000	3.4822e+06	   25352.1	4.35546e+06	0.00533597	   1.05332
	    175.11	         1	         2	   5209.26	     20000	3.5022e+06	   25367.1	4.38082e+06	0.00531984	   1.05864
	    176.11	         1	         2	   5211.65	     20000	3.5222e+06	     25382	4.4062e+06	0.00530385	   1.06394
	    177.11	         1	         2	   5214.04	     20000	3.5422e+06	   25396.9	4.4316e+06	0.00528776	   1.06923
	    178.11	         1	         2	   5216.42	     20000	3.5622e+06	   25412.2	4.45701e+06	0.00527562	   1.07451
	    179.11	         1	         2	   5218.78	     20000	3.5822e+06	   25431.6	4.48244e+06	0.00525242	   1.07976
	    180.11	         1	         2	   5221.14	     20000	3.6022e+06	   25449.6	4.50789e+06	0.00523416	   1.08499
	    181.11	         1	         2	   5223.48	     20000	3.6222e+06	   25467.1	4.53336e+06	0.00521637	   1.09021
	    182.11	         1	         2	    5225.8	     20000	3.6422e+06	   25484.3	4.55885e+06	0.00519894	   1.09541
	   182.625	         1	         2	   5226.99	     20000	3.6525e+06	   25501.2	4.57198e+06	0.00518178	   1.09808
	   182.725	         1	         1	   5227.22	     20000	3.6545e+06	   25509.8	4.57453e+06	0.00517313	    1.0986
	   183.025	         1	         1	   5227.91	     20000	3.6605e+06	   25511.4	4.58219e+06	0.00517147	   1.10015
	   183.925	         1	         2	   5229.98	     20000	3.6785e+06	   25516.3	4.60515e+06	0.00516642	    1.1048
	   184.925	         1	         2	   5232.27	     20000	3.6985e+06	   25531.2	4.63068e+06	0.00515134	   1.10995
	   185.925	         1	         2	   5234.53	     20000	3.7185e+06	   25547.6	4.65623e+06	0.00513472	   1.11508
	   186.925	         1	         2	   5236.78	     20000	3.7385e+06	   25563.8	4.6818e+06	0.00511827	    1.1202
	   187.925	         1	         2	   5239.01	     20000	3.7585e+06	   25579.9	4.70738e+06	0.00510195	    1.1253
	   188.925	         1	         2	   5241.27	     20000	3.7785e+06	   25591.5	4.73297e+06	0.00504104	   1.13034
	   189.925	         1	         2	   5243.51	     20000	3.7985e+06	   25589.2	4.75856e+06	0.00505393	    1.1354
	   190.925	         1	         2	   5245.74	     20000	3.8185e+06	   25587.1	4.78414e+06	0.00503073	   1.14043
	   191.925	         1	         2	   5247.95	     20000	3.8385e+06	   25584.9	4.80973e+06	0.00500887	   1.14544
	   192.925	         1	         2	   5250.15	     20000	3.8585e+06	   25582.8	4.83531e+06	0.00498814	   1.15043
	   193.925	         1	         2	   5252.34	     20000	3.8785e+06	   25580.8	4.86089e+06	0.00496823	   1.15539
	   194.925	         1	         2	   5254.52	     20000	3.8985e+06	   25578.8	4.88647e+06	0.00494893	   1.16034
	   195.925	         1	         2	   5256.68	     20000	3.9185e+06	   25576.9	4.91205e+06	0.00493011	   1.16527
	   196.925	         1	         2	   5259.12	     20000	3.9385e+06	     25575	4.93762e+06	0.00491167	   1.17019
	   197.925	         1	         2	   5261.45	     20000	3.9585e+06	   25573.2	4.9632e+06	0.00489346	   1.17508
	   198.925	         1	         2	   5263.75	     20000	3.9785e+06	   25571.4	4.98877e+06	0.00487564	   1.17995
	   199.925	         1	         2	   5266.04	     20000	3.9985e+06	   25569.7	5.01434e+06	0.00485797	   1.18481
	   200.925	         1	         2	   5268.32	     20000	4.0185e+06	     25568	5.0399e+06	0.00484049	   1.18965
	   201.925	         1	         2	   5270.58	     20000	4.0385e+06	   25566.4	5.06547e+06	0.00482317	   1.19448
	   202.925	         1	         2	   5272.85	     20000	4.0585e+06	   25564.9	5.09104e+06	0.00480599	   1.19928
	   203.925	         1	         2	   5275.09	     20000	4.0785e+06	   25563.4	5.1166e+06	0.00478894	   1.20407
	   204.925	         1	         2	   5277.33	     20000	4.0985e+06	   25561.9	5.14216e+06	0.00477199	   1.20884
	   205.925	         1	         2	   5279.55	     20000	4.1185e+06	   25560.5	5.16772e+06	0.00475515	    1.2136
	   206.925	         1	         2	   5281.76	     20000	4.1385e+06	   25559.2	5.19328e+06	0.00473839	   1.21834
	   207.925	         1	         2	   5283.96	     20000	4.1585e+06	   25557.9	5.21884e+06	0.00472171	   1.22306
	   208.925	         1	         2	   5286.17	     20000	4.1785e+06	   25556.7	5.2444e+06	 0.0047051	   1.22776
	   209.925	         1	         2	   5288.36	     20000	4.1985e+06	   25555.5	5.26995e+06	0.00468855	   1.23245
	   210.925	         1	         2	   5290.54	     20000	4.2185e+06	   25554.4	5.29551e+06	0.00467206	   1.23712
	   211.925	         1	         2	   5292.71	     20000	4.2385e+06	   25553.3	5.32106e+06	0.00465563	   1.24178
	   212.925	         1	         2	   5294.86	     20000	4.2585e+06	   25552.3	5.34661e+06	0.00463925	   1.24642
